1 1.561005830663799e-5 64062 0.0 ComplexF64[0.21380351260422825 - 1.7289853369952337im, 1.0 - 0.0im]
2 5.174400852143465e-5 19326 0.0 ComplexF64[-0.11463752590331346 - 0.1574452203253698im, 1.0 - 0.0im]
3 4.5576477452333256e-5 21942 0.0 ComplexF64[-0.44485543545650874 - 0.5631825260962239im, 1.0 + 0.0im]
4 4.314542105263754e-5 23178 0.0 ComplexF64[0.3553193400856605 + 0.4613475829918142im, 0.9999999999999999 - 0.0im]
5 4.8916714331838646e-5 20443 0.0 ComplexF64[-0.3475518655715793 - 1.288882703918845im, 0.9999999999999999 - 0.0im]
6 3.9782521467465555e-5 25137 0.0 ComplexF64[2.2832829852877543 + 0.4437129022852708im, 1.0 + 6.089548895772481e-17im]
7 5.268481879628159e-5 18981 0.0 ComplexF64[-0.21037474973134693 + 0.3452218351555717im, 1.0 - 0.0im]
8 4.4411055025328436e-5 22517 0.0 ComplexF64[1.0142077209353828 - 0.1014181931704674im, 1.0 - 0.0im]
9 3.174367604143671e-5 31503 0.0 ComplexF64[0.5107059336073969 + 0.7477284828909875im, 1.0 - 0.0im]
10 5.715032638515959e-5 17498 0.0 ComplexF64[-0.1773824518346211 - 0.20025077515798131im, 0.9999999999999999 - 0.0im]
11 3.09500783291403e-5 32311 0.0 ComplexF64[0.14262247783244966 + 0.11010138451366153im, 0.9999999999999999 + 0.0im]
12 4.645279279422349e-5 21528 0.0 ComplexF64[0.5088250931349538 - 0.22461837304215385im, 1.0 - 0.0im]
13 3.361317037433209e-5 29751 0.0 ComplexF64[-0.04622108563616609 - 0.09157472140325773im, 1.0 - 0.0im]
14 4.406166153102837e-5 22696 0.0 ComplexF64[0.17246174676134307 - 0.4226752646184556im, 0.9999999999999999 + 0.0im]
15 5.538875699778848e-5 18055 0.0 ComplexF64[-0.7846680236019111 + 1.3439195600784828im, 1.0 + 0.0im]
16 5.584936288116515e-5 17906 0.0 ComplexF64[3.5647998697949936 - 0.27574768126566934im, 1.0 - 0.0im]
17 5.089600865455407e-5 19648 0.0 ComplexF64[1.0258313339879455 - 0.4162445484809121im, 1.0 - 0.0im]
18 2.818589015827008e-5 35479 0.0 ComplexF64[0.6960034287042393 + 0.6370794018461395im, 1.0 - 0.0im]
19 4.7998917331181926e-5 20834 0.0 ComplexF64[0.4186933189782843 + 0.3621104106893756im, 1.0 - 0.0im]
20 4.052067874052735e-5 24679 0.0 ComplexF64[-0.837303605147399 + 0.28897808451005574im, 0.9999999999999999 + 0.0im]
21 4.8206103726687984e-5 20745 0.0 ComplexF64[0.12460364945114201 + 0.336819536506033im, 1.0 - 0.0im]
22 3.865596603712961e-5 25870 0.0 ComplexF64[0.21314417412244535 + 0.5416199761454316im, 1.0 - 0.0im]
23 3.619913883954191e-5 27626 0.0 ComplexF64[-0.6395904078015823 + 1.5018245455591555im, 1.0 + 0.0im]
24 4.797545738377282e-5 20844 0.0 ComplexF64[0.531433976551366 - 0.3457490375648085im, 0.9999999999999999 - 0.0im]
25 4.8796526632622946e-5 20494 0.0 ComplexF64[0.5433361728123137 - 0.3632928531480359im, 1.0 - 0.0im]
26 4.7351741326641134e-5 21119 0.0 ComplexF64[-0.2475641740006223 + 0.008037575660611957im, 1.0 + 0.0im]
27 5.061320723703474e-5 19758 0.0 ComplexF64[-2.0222272666246024 + 0.5166874508345015im, 1.0 + 5.611810856639733e-17im]
28 4.479693982772648e-5 22323 0.0 ComplexF64[0.20629844075143877 + 0.20027291698780839im, 1.0 - 0.0im]
29 4.450581456207894e-5 22469 0.0 ComplexF64[-0.308683509056115 - 0.6754116531742669im, 1.0 + 3.291179683305105e-17im]
30 4.408553351383162e-5 22684 0.0 ComplexF64[-0.06766895923669765 + 1.344722908067206im, 0.9999999999999999 + 0.0im]
31 4.3259936673234676e-5 23117 0.0 ComplexF64[-0.3751500830366919 - 0.24166597945764023im, 1.0 + 0.0im]
32 1.4356516265632623e-5 69655 0.0 ComplexF64[0.06273196019760648 + 0.9496848859605047im, 0.9999999999999999 + 0.0im]
33 4.2849955337244686e-5 23338 0.0 ComplexF64[-0.35666831517938336 + 0.6580562881632412im, 1.0 - 5.734820849372229e-17im]
34 4.028518090173855e-5 24824 0.0 ComplexF64[0.6976437796109909 + 0.20683585671510737im, 1.0 + 0.0im]
35 1.909467543357801e-5 52371 0.0 ComplexF64[1.1299209001565953 + 0.7601053009747454im, 1.0 - 0.0im]
36 5.336346981718327e-5 18740 0.0 ComplexF64[-0.1456711085053156 + 0.07298232169810434im, 1.0 + 0.0im]
37 2.7330828426472614e-5 36589 0.0 ComplexF64[-0.06293625057965416 + 0.5611283448210475im, 1.0 - 0.0im]
38 5.1155624710869014e-5 19549 0.0 ComplexF64[-0.8258636339879912 + 0.25330924579964376im, 1.0 - 0.0im]
