1 0.1 10 8.240022022755547e-17 - 2.243795880042391e-16im ComplexF64[0.21380351260422834 - 1.728985336995234im, 1.0 - 3.4437544089020564e-17im]
2 0.1 10 2.0816681711721685e-16 - 1.6653345369377348e-16im ComplexF64[-0.11463752590331325 - 0.15744522032536998im, 1.0 - 0.0im]
3 0.1 10 5.4584898337963623e-17 - 2.258124869586072e-16im ComplexF64[-0.4448554354565088 - 0.5631825260962237im, 1.0 - 4.230188500021799e-17im]
4 0.1 10 8.884477489480518e-17 + 6.936790407017519e-17im ComplexF64[0.3553193400856606 + 0.46134758299181433im, 1.0 - 0.0im]
5 0.1 10 1.1102230246251565e-16 + 2.220446049250313e-16im ComplexF64[-0.3475518655715794 - 1.2888827039188453im, 0.9999999999999999 - 0.0im]
6 0.1 10 1.3341289768300167e-15 - 3.275346757188584e-16im ComplexF64[2.2832829852877556 + 0.4437129022852705im, 0.9999999999999999 + 0.0im]
7 0.1 10 8.326672684688674e-17 - 5.551115123125783e-17im ComplexF64[-0.21037474973134684 + 0.34522183515557164im, 1.0 - 0.0im]
8 0.1 10 0.0 + 4.805915231999541e-17im ComplexF64[1.0142077209353828 - 0.10141819317046737im, 1.0 - 3.923404317632362e-17im]
9 0.1 10 1.1102230246251565e-16 - 1.1102230246251565e-16im ComplexF64[0.5107059336073968 + 0.7477284828909876im, 1.0 - 0.0im]
10 0.1 10 1.380574485012378e-16 + 6.75520306371223e-17im ComplexF64[-0.17738245183462117 - 0.20025077515798134im, 1.0 + 6.318500789462834e-17im]
11 0.1 10 0.0 + 5.551115123125783e-17im ComplexF64[0.14262247783244966 + 0.11010138451366147im, 0.9999999999999999 + 0.0im]
12 0.1 10 1.1102230246251565e-16 + 2.7755575615628914e-17im ComplexF64[0.5088250931349537 - 0.22461837304215387im, 1.0 - 0.0im]
13 0.1 10 2.0816681711721685e-17 + 2.7755575615628914e-17im ComplexF64[-0.046221085636166066 - 0.0915747214032577im, 1.0 - 0.0im]
14 0.1 10 1.3192919288965617e-16 - 3.5035701843452795e-17im ComplexF64[0.17246174676134315 - 0.42267526461845567im, 1.0 + 0.0im]
15 0.1 10 2.220446049250313e-16 - 4.440892098500626e-16im ComplexF64[-0.7846680236019109 + 1.3439195600784823im, 1.0 + 0.0im]
16 0.1 10 4.551611660703111e-16 + 2.1664329143887036e-16im ComplexF64[3.564799869794993 - 0.27574768126566956im, 0.9999999999999999 - 0.0im]
17 0.1 10 2.220446049250313e-16 - 1.1102230246251565e-16im ComplexF64[1.0258313339879452 - 0.41624454848091197im, 1.0 - 0.0im]
18 0.1 10 2.220446049250313e-16 - 1.1102230246251565e-16im ComplexF64[0.6960034287042395 + 0.6370794018461394im, 1.0 - 0.0im]
19 0.1 10 5.551115123125783e-17 + 5.551115123125783e-17im ComplexF64[0.4186933189782844 + 0.36211041068937566im, 1.0 - 0.0im]
20 0.1 10 9.614813431917819e-17 - 0.0im ComplexF64[-0.837303605147399 + 0.2889780845100558im, 1.0 + 0.0im]
21 0.1 10 5.551115123125783e-17 - 5.551115123125783e-17im ComplexF64[0.12460364945114195 + 0.3368195365060331im, 1.0 - 0.0im]
22 0.1 10 4.9663769020632386e-17 + 1.240940013932249e-16im ComplexF64[0.2131441741224454 + 0.5416199761454317im, 1.0 + 6.073193143139982e-17im]
23 0.1 10 1.1100695748981983e-16 - 4.441505982256541e-16im ComplexF64[-0.6395904078015822 + 1.501824545559155im, 1.0 + 7.611480268981866e-18im]
24 0.1 10 1.523387100576261e-16 + 4.045574378112988e-17im ComplexF64[0.5314339765513659 - 0.34574903756480857im, 1.0 - 0.0im]
25 0.1 10 9.614813431917819e-17 + 0.0im ComplexF64[0.5433361728123137 - 0.36329285314803583im, 0.9999999999999999 - 0.0im]
26 0.1 10 2.7755575615628914e-17 - 1.6132928326584306e-16im ComplexF64[-0.24756417400062228 + 0.008037575660611796im, 1.0 + 0.0im]
