1 0.010000000000000002 100 1.6653345369377348e-16 + 2.220446049250313e-16im ComplexF64[0.21380351260422809 - 1.728985336995234im, 1.0 - 0.0im]
2 0.010000000000000002 100 1.5265566588595902e-16 - 1.942890293094024e-16im ComplexF64[-0.1146375259033133 - 0.15744522032537im, 1.0 - 0.0im]
3 0.010000000000000002 100 1.6653345369377348e-16 + 0.0im ComplexF64[-0.4448554354565089 - 0.5631825260962239im, 1.0 + 0.0im]
4 0.010000000000000002 100 7.033837392109905e-17 - 1.3142845388249326e-16im ComplexF64[0.35531934008566046 + 0.4613475829918144im, 1.0 - 0.0im]
5 0.010000000000000002 100 1.6875043227063029e-16 - 6.573824037309557e-16im ComplexF64[-0.34755186557157913 - 1.2888827039188457im, 1.0 - 0.0im]
6 0.010000000000000002 100 8.80652597585722e-16 + 3.3591320830582603e-16im ComplexF64[2.283282985287755 + 0.44371290228527116im, 1.0 - 6.245776922437851e-17im]
7 0.010000000000000002 100 2.7755575615628914e-17 + 5.551115123125783e-17im ComplexF64[-0.21037474973134695 + 0.34522183515557164im, 1.0 - 0.0im]
8 0.010000000000000002 100 2.220446049250313e-16 + 1.3877787807814457e-17im ComplexF64[1.0142077209353826 - 0.10141819317046741im, 1.0 - 0.0im]
9 0.010000000000000002 100 2.220446049250313e-16 + 0.0im ComplexF64[0.5107059336073967 + 0.7477284828909875im, 1.0 - 0.0im]
10 0.010000000000000002 100 8.326672684688674e-17 + 2.7755575615628914e-17im ComplexF64[-0.17738245183462112 - 0.2002507751579814im, 1.0 - 0.0im]
11 0.010000000000000002 100 1.370161991844649e-16 - 1.686746492035754e-17im ComplexF64[0.14262247783244975 + 0.1101013845136615im, 1.0 + 0.0im]
12 0.010000000000000002 100 1.1102230246251565e-16 - 2.7755575615628914e-17im ComplexF64[0.5088250931349537 - 0.22461837304215382im, 1.0 - 0.0im]
13 0.010000000000000002 100 2.0816681711721685e-17 - 4.163336342344337e-17im ComplexF64[-0.04622108563616611 - 0.09157472140325769im, 1.0 - 0.0im]
14 0.010000000000000002 100 5.908176294120449e-17 - 5.2156329764332446e-17im ComplexF64[0.1724617467613431 - 0.4226752646184557im, 1.0 + 0.0im]
15 0.010000000000000002 100 1.1102230246251565e-16 - 2.220446049250313e-16im ComplexF64[-0.784668023601911 + 1.3439195600784826im, 1.0 + 0.0im]
16 0.010000000000000002 100 8.944854937908489e-16 - 2.7559869287182423e-16im ComplexF64[3.5647998697949927 - 0.27574768126566906im, 0.9999999999999999 - 0.0im]
17 0.010000000000000002 100 2.220446049250313e-16 + 1.1102230246251565e-16im ComplexF64[1.0258313339879452 - 0.4162445484809122im, 1.0 - 0.0im]
18 0.010000000000000002 100 1.1102230246251565e-16 + 0.0im ComplexF64[0.6960034287042394 + 0.6370794018461395im, 1.0 - 0.0im]
19 0.010000000000000002 100 5.551115123125783e-17 + 0.0im ComplexF64[0.41869331897828427 + 0.3621104106893756im, 1.0 - 0.0im]
20 0.010000000000000002 100 9.820273343547875e-17 + 4.2837437344434395e-17im ComplexF64[-0.837303605147399 + 0.2889780845100558im, 1.0 + 3.789106645500201e-17im]
21 0.010000000000000002 100 4.163336342344337e-17 - 5.551115123125783e-17im ComplexF64[0.12460364945114197 + 0.3368195365060331im, 1.0 - 0.0im]
22 0.010000000000000002 100 8.326672684688674e-17 + 0.0im ComplexF64[0.21314417412244543 + 0.5416199761454316im, 1.0 - 0.0im]
23 0.010000000000000002 100 1.1102230246251565e-16 + 0.0im ComplexF64[-0.6395904078015824 + 1.5018245455591555im, 1.0 + 0.0im]
24 0.010000000000000002 100 1.304310933269513e-16 + 1.4175245330322667e-16im ComplexF64[0.5314339765513661 - 0.34574903756480835im, 1.0 - 0.0im]
25 0.010000000000000002 100 2.220446049250313e-16 - 2.220446049250313e-16im ComplexF64[0.5433361728123139 - 0.3632928531480361im, 1.0 - 0.0im]
26 0.010000000000000002 100 8.414212276993356e-17 - 8.011153728301224e-17im ComplexF64[-0.24756417400062225 + 0.008037575660611836im, 0.9999999999999999 + 0.0im]
27 0.010000000000000002 100 4.4300058535783563e-16 - 6.677707642732057e-16im ComplexF64[-2.022227266624603 + 0.5166874508345022im, 1.0 - 0.0im]
28 0.010000000000000002 100 2.7755575615628914e-17 + 0.0im ComplexF64[0.20629844075143874 + 0.20027291698780839im, 1.0 - 0.0im]
29 0.010000000000000002 100 6.082604122177752e-17 - 4.124931212122002e-17im ComplexF64[-0.3086835090561151 - 0.6754116531742668im, 0.9999999999999999 - 0.0im]
30 0.010000000000000002 100 4.005261254436974e-16 + 2.1542080785108963e-16im ComplexF64[-0.06766895923669726 + 1.3447229080672063im, 1.0 + 0.0im]
31 0.010000000000000002 100 1.1102230246251565e-16 + 2.7755575615628914e-17im ComplexF64[-0.3751500830366918 - 0.2416659794576402im, 1.0 + 0.0im]
32 0.010000000000000002 100 2.4395687991236815e-16 - 1.0105024829392735e-16im ComplexF64[0.06273196019760625 + 0.9496848859605048im, 1.0 + 0.0im]
33 0.010000000000000002 100 0.0 - 1.439892726628841e-17im ComplexF64[-0.3566683151793833 + 0.6580562881632412im, 1.0 + 0.0im]
34 0.010000000000000002 100 2.220446049250313e-16 + 5.551115123125783e-17im ComplexF64[0.6976437796109911 + 0.20683585671510743im, 1.0 + 0.0im]
35 0.010000000000000002 100 4.4164711483022615e-16 + 0.0im ComplexF64[1.1299209001565949 + 0.7601053009747454im, 1.0 - 4.650862573104049e-17im]
36 0.010000000000000002 100 2.7755575615628914e-17 + 2.7755575615628914e-17im ComplexF64[-0.14567110850531562 + 0.07298232169810431im, 1.0 + 0.0im]
37 0.010000000000000002 100 5.551115123125783e-17 + 1.1102230246251565e-16im ComplexF64[-0.06293625057965421 + 0.5611283448210473im, 1.0 - 0.0im]
38 0.010000000000000002 100 1.5700924586837752e-16 + 0.0im ComplexF64[-0.8258636339879911 + 0.25330924579964376im, 0.9999999999999999 - 0.0im]
39 0.010000000000000002 100 3.007828269458824e-16 - 3.22714132926815e-16im ComplexF64[-0.07849544972499685 + 0.5931810406033619im, 1.0 - 0.0im]
40 0.010000000000000002 100 1.1102230246251565e-16 - 5.551115123125783e-17im ComplexF64[-0.16844335284580958 + 0.4402317798946325im, 1.0 + 0.0im]
41 0.010000000000000002 100 5.551115123125783e-17 + 0.0im ComplexF64[-0.4806603042741304 + 0.6170282698539178im, 1.0 + 0.0im]
42 0.010000000000000002 100 1.2412670766236366e-16 - 0.0im ComplexF64[0.48700640839564224 + 0.25951438390923626im, 1.0 - 0.0im]
43 0.010000000000000002 100 0.0 + 8.81212206892831e-16im ComplexF64[0.7609976984818009 - 2.86076713784892im, 1.0 - 0.0im]
44 0.010000000000000002 100 1.2412670766236366e-16 + 0.0im ComplexF64[-0.36333461299160613 - 0.9588740285573444im, 1.0 + 0.0im]
45 0.010000000000000002 100 4.218847493575595e-15 - 3.552713678800501e-15im ComplexF64[1.0794756105305454 - 4.655718093920757im, 1.0 + 0.0im]
46 0.010000000000000002 100 5.551115123125783e-17 + 4.440892098500626e-16im ComplexF64[0.24082627761853032 - 1.0065320377844846im, 1.0 - 0.0im]
47 0.010000000000000002 100 2.220446049250313e-16 + 0.0im ComplexF64[-0.512139445688704 - 0.37515939101531354im, 1.0 + 0.0im]
48 0.010000000000000002 100 1.150146321171554e-16 - 2.156573059137912e-16im ComplexF64[0.2485118056560161 - 0.5709345384631749im, 1.0 + 0.0im]
49 0.010000000000000002 100 2.4527789405087066e-16 + 8.16611358277281e-17im ComplexF64[-0.7334175733067082 - 0.05930927597186809im, 0.9999999999999999 + 0.0im]
50 0.010000000000000002 100 1.1102230246251565e-16 + 6.245004513516506e-17im ComplexF64[-0.7170791726466128 - 0.03828455573822919im, 1.0 - 0.0im]
51 0.010000000000000002 100 8.926241276830017e-16 + 6.62816140150169e-16im ComplexF64[5.183608584579695 + 1.0869329477172058im, 0.9999999999999999 + 0.0im]
52 0.010000000000000002 100 2.2197977227634226e-16 + 1.3326567390546291e-15im ComplexF64[0.2966130508417201 + 2.207304049445788im, 1.0 + 0.0im]
53 0.010000000000000002 100 9.566792996165864e-17 + 7.247306179377734e-17im ComplexF64[-0.05640689931323967 + 0.35737386878168953im, 0.9999999999999999 - 0.0im]
