1 0.0001 10000 2.7755575615628914e-17 - 2.220446049250313e-16im ComplexF64[0.21380351260422828 - 1.728985336995234im, 1.0 - 0.0im]
2 0.0001 10000 2.7755575615628914e-17 - 1.3877787807814457e-16im ComplexF64[-0.11463752590331343 - 0.15744522032536995im, 1.0 - 0.0im]
3 0.0001 10000 5.551115123125783e-17 + 1.1102230246251565e-16im ComplexF64[-0.4448554354565088 - 0.563182526096224im, 1.0 + 0.0im]
4 0.0001 10000 1.523387100576261e-16 - 4.045574378112988e-17im ComplexF64[0.3553193400856604 + 0.4613475829918143im, 1.0 - 0.0im]
5 0.0001 10000 1.1442612306232976e-16 + 4.3087893967583487e-16im ComplexF64[-0.3475518655715794 - 1.2888827039188455im, 1.0 - 0.0im]
6 0.0001 10000 2.6638420228919202e-15 + 1.665767922322557e-16im ComplexF64[2.283282985287757 + 0.443712902285271im, 1.0 + 0.0im]
7 0.0001 10000 1.7450674667403861e-16 - 4.414568447567664e-17im ComplexF64[-0.2103747497313468 + 0.34522183515557164im, 0.9999999999999999 - 0.0im]
8 0.0001 10000 2.4203310668608827e-16 - 1.2731679369038554e-16im ComplexF64[1.0142077209353826 - 0.10141819317046726im, 0.9999999999999999 - 0.0im]
9 0.0001 10000 0.0 + 0.0im ComplexF64[0.5107059336073969 + 0.7477284828909875im, 1.0 - 0.0im]
10 0.0001 10000 9.614813431917819e-17 + 0.0im ComplexF64[-0.1773824518346211 - 0.20025077515798137im, 1.0 - 0.0im]
11 0.0001 10000 1.2412670766236366e-16 - 0.0im ComplexF64[0.14262247783244972 + 0.11010138451366153im, 1.0 + 0.0im]
12 0.0001 10000 0.0 + 8.326672684688674e-17im ComplexF64[0.5088250931349538 - 0.22461837304215376im, 1.0 - 0.0im]
13 0.0001 10000 6.938893903907228e-18 + 5.551115123125783e-17im ComplexF64[-0.04622108563616608 - 0.09157472140325768im, 1.0 - 0.0im]
14 0.0001 10000 1.0122506469991269e-16 - 1.5220972790458664e-17im ComplexF64[0.1724617467613431 - 0.42267526461845567im, 1.0 + 0.0im]
15 0.0001 10000 2.220446049250313e-16 - 2.220446049250313e-16im ComplexF64[-0.7846680236019109 + 1.3439195600784826im, 1.0 + 0.0im]
16 0.0001 10000 8.881784197001252e-16 - 2.220446049250313e-16im ComplexF64[3.5647998697949927 - 0.2757476812656691im, 1.0 - 0.0im]
17 0.0001 10000 2.220446049250313e-16 - 1.1102230246251565e-16im ComplexF64[1.0258313339879452 - 0.41624454848091197im, 1.0 - 0.0im]
18 0.0001 10000 0.0 + 0.0im ComplexF64[0.6960034287042393 + 0.6370794018461394im, 0.9999999999999999 - 0.0im]
19 0.0001 10000 1.1102230246251565e-16 + 0.0im ComplexF64[0.4186933189782843 + 0.3621104106893756im, 0.9999999999999999 - 0.0im]
20 0.0001 10000 1.5700924586837752e-16 - 0.0im ComplexF64[-0.8373036051473989 + 0.28897808451005574im, 1.0 + 0.0im]
21 0.0001 10000 1.3877787807814457e-17 + 0.0im ComplexF64[0.124603649451142 + 0.336819536506033im, 1.0 - 0.0im]
22 0.0001 10000 1.3877787807814457e-16 + 1.1102230246251565e-16im ComplexF64[0.2131441741224455 + 0.5416199761454317im, 1.0 - 0.0im]
23 0.0001 10000 1.1102230246251565e-16 + 0.0im ComplexF64[-0.6395904078015824 + 1.5018245455591555im, 1.0 + 0.0im]
24 0.0001 10000 9.614813431917819e-17 + 0.0im ComplexF64[0.531433976551366 - 0.34574903756480857im, 1.0 - 0.0im]
25 0.0001 10000 1.1102230246251565e-16 - 2.220446049250313e-16im ComplexF64[0.5433361728123138 - 0.3632928531480361im, 1.0 - 0.0im]
26 0.0001 10000 2.7755575615628914e-17 - 1.43982048506075e-16im ComplexF64[-0.24756417400062228 + 0.008037575660611813im, 1.0 + 0.0im]
27 0.0001 10000 0.0 + 6.68493456434608e-16im ComplexF64[-2.0222272666246024 + 0.5166874508345022im, 1.0 - 0.0im]
28 0.0001 10000 1.5579709355987507e-16 + 1.9778853639752382e-17im ComplexF64[0.20629844075143888 + 0.2002729169878084im, 0.9999999999999999 - 0.0im]
