1 1.0e-5 100001 2.7755575615628914e-16 + 0.0im ComplexF64[0.21380351260422797 - 1.7289853369952337im, 1.0 - 0.0im]
2 1.0e-5 100001 8.326672684688674e-17 - 5.551115123125783e-17im ComplexF64[-0.11463752590331337 - 0.15744522032536987im, 1.0 - 0.0im]
3 1.0e-5 100001 1.5700924586837752e-16 + 0.0im ComplexF64[-0.44485543545650885 - 0.5631825260962239im, 0.9999999999999999 + 0.0im]
4 1.0e-5 100001 8.884477489480518e-17 + 6.936790407017519e-17im ComplexF64[0.3553193400856606 + 0.46134758299181433im, 1.0 - 0.0im]
5 1.0e-5 100001 6.753223014464259e-16 + 0.0im ComplexF64[-0.34755186557157997 - 1.288882703918845im, 1.0 - 0.0im]
6 1.0e-5 100001 1.3363782423648574e-15 + 2.8176102751395587e-16im ComplexF64[2.2832829852877556 + 0.4437129022852711im, 0.9999999999999999 + 0.0im]
7 1.0e-5 100001 5.551115123125783e-17 + 0.0im ComplexF64[-0.21037474973134687 + 0.3452218351555717im, 1.0 - 0.0im]
8 1.0e-5 100001 0.0 + 1.1102230246251565e-16im ComplexF64[1.0142077209353828 - 0.10141819317046728im, 1.0 - 0.0im]
9 1.0e-5 100001 1.5700924586837752e-16 + 0.0im ComplexF64[0.5107059336073968 + 0.7477284828909875im, 0.9999999999999999 - 0.0im]
10 1.0e-5 100001 1.1123809270553693e-16 - 6.9254331768720514e-18im ComplexF64[-0.17738245183462112 - 0.2002507751579813im, 1.0 - 0.0im]
11 1.0e-5 100001 1.3833468436124692e-16 + 8.353349501378265e-18im ComplexF64[0.14262247783244975 + 0.11010138451366154im, 1.0 + 0.0im]
12 1.0e-5 100001 1.1102230246251565e-16 + 0.0im ComplexF64[0.5088250931349537 - 0.22461837304215385im, 1.0 - 0.0im]
13 1.0e-5 100001 2.7755575615628914e-17 - 8.326672684688674e-17im ComplexF64[-0.046221085636166115 - 0.09157472140325765im, 1.0 - 0.0im]
14 1.0e-5 100001 5.908176294120449e-17 - 5.2156329764332446e-17im ComplexF64[0.1724617467613431 - 0.4226752646184557im, 1.0 + 0.0im]
15 1.0e-5 100001 3.3306690738754696e-16 - 4.440892098500626e-16im ComplexF64[-0.7846680236019108 + 1.3439195600784823im, 1.0 + 0.0im]
16 1.0e-5 100001 4.439964660847374e-16 + 4.441819729880781e-16im ComplexF64[3.564799869794994 - 0.2757476812656689im, 1.0 + 1.2836013082196806e-17im]
17 1.0e-5 100001 2.220446049250313e-16 - 5.551115123125783e-17im ComplexF64[1.0258313339879457 - 0.41624454848091214im, 1.0 - 0.0im]
18 1.0e-5 100001 1.046732158897556e-16 - 0.0im ComplexF64[0.6960034287042394 + 0.6370794018461395im, 1.0 + 3.700634431249494e-17im]
19 1.0e-5 100001 0.0 + 0.0im ComplexF64[0.4186933189782843 + 0.3621104106893756im, 1.0 - 0.0im]
20 1.0e-5 100001 2.482534153247273e-16 - 0.0im ComplexF64[-0.8373036051473988 + 0.28897808451005574im, 1.0 + 0.0im]
21 1.0e-5 100001 1.1857187100668868e-16 + 0.0im ComplexF64[0.12460364945114205 + 0.336819536506033im, 0.9999999999999999 - 0.0im]
22 1.0e-5 100001 5.551115123125783e-17 + 1.1102230246251565e-16im ComplexF64[0.2131441741224454 + 0.5416199761454317im, 1.0 - 0.0im]
23 1.0e-5 100001 2.220446049250313e-16 - 4.440892098500626e-16im ComplexF64[-0.639590407801582 + 1.501824545559155im, 1.0 + 0.0im]
24 1.0e-5 100001 9.614813431917819e-17 - 0.0im ComplexF64[0.531433976551366 - 0.34574903756480846im, 1.0 - 0.0im]
25 1.0e-5 100001 0.0 + 0.0im ComplexF64[0.5433361728123137 - 0.3632928531480359im, 1.0 - 0.0im]
26 1.0e-5 100001 9.47834124605388e-17 - 5.790992536577872e-17im ComplexF64[-0.24756417400062225 + 0.008037575660611859im, 0.9999999999999999 + 0.0im]
27 1.0e-5 100001 4.433813077319311e-16 - 8.895964844079062e-16im ComplexF64[-2.022227266624603 + 0.5166874508345024im, 1.0 - 0.0im]
28 1.0e-5 100001 1.768871525340236e-16 + 2.1775803576427524e-17im ComplexF64[0.20629844075143863 + 0.20027291698780836im, 0.9999999999999999 - 0.0im]
29 1.0e-5 100001 1.0603190686438814e-16 + 0.0im ComplexF64[-0.30868350905611514 - 0.6754116531742669im, 1.0 - 0.0im]
30 1.0e-5 100001 6.546893972726385e-16 + 1.106096512493292e-15im ComplexF64[-0.0676689592366983 + 1.344722908067205im, 1.0 + 0.0im]
31 1.0e-5 100001 0.0 + 0.0im ComplexF64[-0.3751500830366919 - 0.24166597945764023im, 1.0 + 0.0im]
32 1.0e-5 100001 2.7336071744532853e-16 + 0.0im ComplexF64[0.06273196019760623 + 0.9496848859605047im, 1.0 + 0.0im]
33 1.0e-5 100001 2.1837310518483568e-16 - 2.2577783346800623e-16im ComplexF64[-0.35666831517938313 + 0.658056288163241im, 1.0 + 0.0im]
34 1.0e-5 100001 3.494703970378227e-16 + 1.0581112233158011e-16im ComplexF64[0.6976437796109912 + 0.20683585671510749im, 0.9999999999999999 + 0.0im]
35 1.0e-5 100001 0.0 + 1.1102230246251565e-16im ComplexF64[1.1299209001565953 + 0.7601053009747455im, 1.0 - 0.0im]
36 1.0e-5 100001 2.7755575615628914e-17 + 0.0im ComplexF64[-0.14567110850531562 + 0.07298232169810434im, 1.0 + 0.0im]
